"","school","preveducation","preveducationtype","prevCC","matrix_pre_1","matrix_pre_2","matrix_pre_3","matrix_pre_4","matrix_pre_5","matrix_pre_6","cc_choice"
"885","Lincolnton High School",2,"Virtual Reality (VR)",NA,4,4,4,4,4,4,1
"886","Lincolnton High School",0,"",NA,3,2,4,4,4,3,1
"889","Wake Forest High School",0,"",NA,4,4,4,4,NA,4,1
"897","Apex Friendship High School",0,"",NA,4,4,4,4,4,4,1
"901","Clinton High School",NA,"Video",NA,3,4,4,3,4,4,1
"902","Lincolnton High School",1,"Lecture",NA,3,3,4,4,4,4,1
"903","North Surry High School",0,"",NA,4,4,4,4,4,4,1
"905","Apex Friendship High School",1,"Video",NA,4,4,4,4,4,4,1
"906","Clinton High School",4,"Handout,Video,Other",NA,3,2,4,3,4,2,1
"908","Lincolnton High School",0,"",NA,3,4,4,4,4,4,1
"919","Pamlico County High School",2,"PowerPoint",NA,3,4,4,4,4,4,1
"920","Montgomery Central High School",0,"",NA,1,3,4,3,4,2,1
"925","Rocky Mount High School",1,"Video",NA,4,4,4,4,4,4,1
"929","Trinity High School",2,"Handout",NA,3,4,4,4,4,3,1
"933","Clinton High School",0,"",NA,3,3,3,3,3,3,1
"934","Falls Lake Academy",1,"Handout",NA,3,3,4,3,4,3,1
"936","Charlotte Catholic High School",1,"Video,Other",NA,3,4,4,4,4,4,1
"941","East Rowan High School",0,"",NA,3,4,4,4,4,4,1
"943","Montgomery Central High School",2,"Lecture",NA,4,4,4,4,4,4,1
"944","Robinson, Jay M. High School",1,"Video",NA,4,4,4,3,4,4,1
"945","Charlotte Catholic High School",1,"Video",NA,1,3,4,3,4,1,1
"946","Pamlico County High School",0,"",NA,NA,NA,4,NA,4,3,1
"948","Apex Friendship High School",0,"",NA,3,3,4,4,4,2,1
"950","Clinton High School",0,"",NA,3,3,3,3,4,3,0
"954","Charlotte Catholic High School",0,"",NA,2,3,4,3,4,3,1
"955","Charlotte Catholic High School",4,"Video",NA,1,4,4,4,4,4,1
"957","Lincolnton High School",1,"Lecture,PowerPoint,Video",NA,4,4,4,4,4,4,1
"958","Apex Friendship High School",4,"Handout,PowerPoint,Video",NA,4,4,4,4,4,4,1
"959","Apex Friendship High School",0,"",NA,1,4,4,4,4,4,1
"961","Apex Friendship High School",0,"",NA,3,3,4,4,4,3,1
